,driver_id,passport_id,surname,name,middle_name,date_of_birth,sex,year_of_get_license,study_transmission,attemps_of_pass,autoschool,region_id
0,1,2645036583,Рогов,Болеслав,Давидович,1960-07-24,М,2021,механика,1,Автобан,20
1,2,6322148777,Поляков,Святослав,Жанович,1977-02-05,М,1995,автомат,5,Новый вираж,43
2,3,2343884490,Рожков,Трифон,Устинович,1959-12-30,М,1988,механика,4,Вектор,70
3,4,3714358929,Лебедев,Измаил,Ануфриевич,1973-03-21,М,1992,автомат,1,Молния,1
4,5,1761625360,Алексеева,Ия,Юльевна,1994-02-09,Ж,2020,механика,1,Конкорд,89
5,6,2791397533,Кононова,Тамара,Романовна,1961-11-04,Ж,1991,механика,4,Малина,24
6,7,6309376910,Назаров,Самуил,Трофимович,1988-10-31,М,2020,автомат,2,Шоссе,8
7,8,9463460070,Исакова,Алевтина,Георгиевна,1988-07-25,Ж,2013,механика,2,Центральная автошкола,77
8,9,6579716691,Калашников,Прокл,Арсенович,2001-07-24,М,2020,механика,1,Хочу рулить,62
9,10,1336247677,Пахомова,Надежда,Вадимовна,1962-08-02,Ж,2021,механика,5,Старт,39
10,11,2764589177,Веселов,Ермолай,Архипович,1967-06-07,М,2015,автомат,1,Дакар,5
11,12,8178302468,Лыткин,Наркис,Германович,2003-08-23,М,2021,механика,4,Автокласс,60
12,13,3302590127,Лихачева,Евдокия,Тимофеевна,1993-01-03,Ж,2014,механика,3,Эстафета,48
13,14,7071458622,Молчанов,Прохор,Харитонович,1972-10-01,М,2018,автомат,3,Продвинутый водитель,19
14,15,7725879223,Кудряшова,Любовь,Ивановна,1974-10-28,Ж,2006,автомат,4,Профи,53
15,16,2368281154,Кузнецов,Руслан,Тарасович,1978-08-27,М,2019,механика,2,Флагман,72
16,17,4436167266,Меркушев,Любим,Аверьянович,1961-06-23,М,1987,механика,3,Зеленая волна,38
17,18,5037344352,Кулаков,Агап,Елизарович,1954-08-23,М,1974,автомат,2,Автолайф,8
18,19,3843368787,Рожкова,София,Кирилловна,1957-02-27,Ж,1983,автомат,1,Светофор,13
19,20,6584094873,Агафонова,Зинаида,Евгеньевна,1958-02-08,Ж,1982,автомат,3,Дорожная Азбука,37
20,21,4506319058,Смирнова,Кира,Наумовна,1964-08-14,Ж,1998,механика,4,Норд-Вест,7
21,22,2350399859,Афанасьева,Раиса,Владимировна,1977-04-18,Ж,2013,механика,1,Автостиль,64
22,23,1835360423,Тимофеев,Пров,Бориславович,1986-09-23,М,2004,автомат,4,Хайвэй,22
23,24,2833606266,Михайлов,Фома,Юльевич,1974-09-08,М,2002,автомат,3,Супер-автошкола,53
24,25,5213199723,Доронин,Любомир,Ильясович,2001-04-21,М,2021,автомат,4,Флагман,91
25,26,0717677318,Колесникова,Фёкла,Болеславовна,1970-12-27,Ж,1989,автомат,4,Кабриолет,86
26,27,6645926852,Яковлева,Татьяна,Владимировна,1951-07-17,Ж,1979,механика,3,Магистраль,6
27,28,0387597157,Горбачева,Мария,Яковлевна,1971-02-11,Ж,2019,автомат,5,Автознание,38
28,29,7195712135,Яковлева,Валентина,Борисовна,1992-04-27,Ж,2015,автомат,5,Ягуар,53
29,30,8026619840,Давыдова,Клавдия,Сергеевна,1992-06-26,Ж,2017,автомат,3,Прайм-Авто,30
30,31,5174675763,Фокина,Алла,Федоровна,1966-05-22,Ж,2011,автомат,2,Пилот,2
31,32,9135573362,Васильев,Порфирий,Александрович,1978-09-12,М,2002,механика,2,Нужный шаг,41
32,33,9204399012,Лыткин,Феликс,Филиппович,1968-03-22,М,1988,механика,3,Автодрайвер,3
33,34,7485581243,Ершова,Вероника,Константиновна,1972-11-02,Ж,2009,механика,1,Чайка,21
34,35,5678510066,Мамонтов,Елисей,Анатольевич,2001-11-28,М,2021,механика,4,Ментор,38
35,36,7932401406,Дмитриева,Татьяна,Павловна,2002-10-01,Ж,2020,механика,4,Дилижанс,31
36,37,0852822229,Тимофеев,Макар,Феодосьевич,1999-09-29,М,2020,механика,5,Ягуар,33
37,38,2381943400,Орехова,Светлана,Анатольевна,1951-08-02,Ж,1996,механика,2,Драйв,58
38,39,2913372431,Кудрявцева,Октябрина,Рудольфовна,1967-06-14,Ж,2001,автомат,2,Формула скорости,43
39,40,2689468339,Веселова,Кира,Альбертовна,1964-03-16,Ж,2020,механика,4,Кабриолет,24
40,41,6101811929,Соколова,Алина,Харитоновна,1974-09-06,Ж,1994,автомат,5,Стрела,65
41,42,2446173912,Потапова,Светлана,Кузьминична,2001-01-20,Ж,2019,механика,2,Дебют,91
42,43,1863393089,Исаев,Ермолай,Вячеславович,1986-08-30,М,2018,автомат,5,Хайвэй,18
43,44,6206671505,Фадеева,Варвара,Эдуардовна,1988-01-03,Ж,2019,механика,3,Автолайф,66
44,45,8585197564,Трофимов,Авдей,Антипович,1953-12-18,М,1997,механика,4,Автолидер,70
45,46,9600183462,Бобылев,Корнил,Елизарович,1971-11-03,М,2019,автомат,1,АвтоГарвард,25
46,47,3179552165,Тетерин,Онуфрий,Ануфриевич,2002-10-20,М,2021,механика,1,Автодрайв,34
47,48,9777449313,Щербакова,Людмила,Эдуардовна,1981-07-12,Ж,2018,механика,3,Альтернатива,67
48,49,1767587946,Устинов,Викторин,Трофимович,1957-11-17,М,2008,автомат,4,Супер-автошкола,10
49,50,2892663020,Евдокимова,Ксения,Олеговна,1980-04-01,Ж,2004,автомат,4,Форсаж,63
50,51,5205332077,Зайцев,Владимир,Герасимович,1999-06-17,М,2020,механика,5,Дорожная Азбука,54
51,52,7562467815,Муравьев,Вацлав,Гурьевич,1965-04-25,М,2015,механика,2,Мустанг,60
52,53,6417204445,Коновалова,Нинель,Рудольфовна,1988-02-05,Ж,2010,механика,3,Знак,54
53,54,6123904763,Емельянов,Фома,Гавриилович,1951-04-14,М,2012,автомат,2,Прайм-Авто,72
54,55,4217065266,Блинов,Гедеон,Власович,1996-12-16,М,2021,механика,5,Эстакада,12
55,56,6428355439,Кононов,Станислав,Андреевич,1987-07-10,М,2009,механика,5,Вершина,14
56,57,3225796511,Блинова,Ольга,Тимуровна,1951-06-20,Ж,1977,механика,3,Шумахер,46
57,58,3468274533,Авдеев,Ерофей,Иосипович,1999-04-25,М,2019,автомат,4,Мастер-класс,89
58,59,3274506762,Григорьева,Зинаида,Геннадьевна,1985-11-25,Ж,2016,механика,5,Ротор,18
59,60,3671317097,Козлова,Лариса,Рудольфовна,1963-09-26,Ж,2016,автомат,5,Фордевинд,9
60,61,5427316400,Филатов,Филимон,Филимонович,1982-03-18,М,2003,автомат,3,Гарант,74
61,62,4085473356,Пестов,Захар,Эдгардович,1959-04-19,М,1978,автомат,5,Арго,16
62,63,6178778655,Веселова,Ирина,Альбертовна,1990-07-02,Ж,2016,автомат,3,Сигнал,1
63,64,3337648013,Лукина,Марина,Степановна,1989-12-18,Ж,2018,механика,3,Жигули,7
64,65,1890911648,Суханова,Жанна,Оскаровна,1991-02-15,Ж,2013,автомат,3,Автоэлита,20
