,Номер паспорта,Фамилия,Имя,Отчество,Дата рождения,Пол,Год получения прав,КП во время учёбы,Количество попыток сдачи эказмена,Название автошколы,Код региона получения прав
0,8287068930,Беспалов,Любим,Яковлевич,1996-01-09,М,2018,M,2,Автолайн,37
1,7499650913,Зайцев,Всеволод,Филатович,1989-08-11,М,2011,А,2,Трасса,48
2,1999037174,Тарасов,Лукьян,Ефимьевич,1955-03-19,М,1999,M,4,Маневр,11
3,5714532293,Мельникова,Пелагея,Ниловна,2000-12-01,Ж,2018,А,2,Малина,73
4,5102394079,Турова,Анастасия,Тимофеевна,1973-09-20,Ж,2021,А,1,Садовое Кольцо,31
5,8398954635,Полякова,Татьяна,Борисовна,1968-02-23,Ж,1991,А,5,Автопилот,15
6,9145316817,Дроздов,Мир,Ильясович,1951-09-11,М,1976,M,5,Близкое расстояние,65
7,4075415509,Мамонтова,Лора,Викторовна,1958-11-01,Ж,1983,M,4,За рулем,67
8,9858754692,Дорофеев,Остап,Антонович,1955-05-02,М,1980,А,4,Автодрайвер,34
9,8532622882,Игнатьева,Тамара,Матвеевна,1977-01-20,Ж,2006,А,5,Три педали,65
10,7676926455,Щербаков,Мирослав,Валерианович,1981-11-17,М,2016,M,1,Профессионал,6
11,0728624633,Тихонов,Демид,Архипович,1991-01-23,М,2021,M,3,Хайвэй,16
12,2066620272,Гаврилов,Савватий,Евсеевич,1960-08-25,М,2016,А,1,Перекресток,79
13,1753438514,Голубева,Фёкла,Васильевна,1984-01-07,Ж,2002,А,5,Пятое колесо,78
14,7249505408,Блинов,Еремей,Иларионович,1954-09-06,М,1985,А,2,Автоотличник,29
15,7331017866,Белякова,Евдокия,Альбертовна,1985-11-13,Ж,2013,А,1,Драйв,26
16,8529680959,Воробьев,Геннадий,Тихонович,1964-10-02,М,1998,А,1,Эстафета,60
17,2062146362,Меркушев,Орест,Филатович,1980-01-09,М,2014,А,3,Топ Драйв,58
18,4010780281,Полякова,Ольга,Анатольевна,1983-10-05,Ж,2005,M,5,Рокада,44
19,1587751388,Котова,Милица,Семеновна,1991-12-08,Ж,2017,А,5,Новые горизонты,22
20,3061525799,Зимина,Раиса,Егоровна,1956-12-12,Ж,1981,M,2,АртДрайв,14
21,4580241058,Буров,Руслан,Тихонович,1971-12-29,М,2021,M,1,Вектор,70
22,4365728011,Галкин,Станимир,Ерофеевич,1994-08-17,М,2016,M,5,Профессионал,92
23,9949275150,Тетерина,Тамара,Александровна,1984-12-17,Ж,2018,M,4,Орлан,16
24,9972909806,Терентьев,Ипат,Ермилович,1958-04-08,М,1979,А,5,Стрела,2
25,7572006111,Вишнякова,Пелагея,Никифоровна,1952-07-24,Ж,1999,А,1,АвтоАкадемия,99
26,8379330325,Большаков,Демид,Аверьянович,1966-09-26,М,1987,M,4,Водитель,49
